iter	Passed	Remaining
0	155	155580
1	157	78680
2	159	52979
3	161	40111
4	162	32370
5	164	27178
6	165	23493
7	167	20716
8	169	18654
9	171	16952
10	173	15561
11	174	14397
12	176	13405
13	178	12564
14	180	11837
15	181	11191
16	183	10611
17	184	10085
18	187	9664
19	188	9246
20	190	8863
21	191	8527
22	193	8229
23	195	7941
24	197	7694
25	199	7460
26	200	7242
27	202	7035
28	204	6841
29	206	6661
30	207	6499
31	209	6335
32	211	6193
33	213	6053
34	214	5913
35	216	5785
36	217	5673
37	219	5562
38	221	5452
39	222	5341
40	224	5242
41	226	5155
42	227	5073
43	229	4992
44	231	4906
45	233	4839
46	237	4806
47	238	4733
48	240	4659
49	241	4589
50	243	4523
51	244	4464
52	246	4404
53	248	4346
54	249	4289
55	252	4257
56	254	4211
57	256	4158
58	257	4107
59	258	4056
60	260	4011
61	262	3966
62	263	3921
63	265	3876
64	266	3834
65	268	3793
66	269	3754
67	271	3717
68	272	3680
69	274	3645
70	277	3625
71	278	3593
72	280	3560
73	281	3527
74	283	3497
75	285	3465
76	286	3437
77	288	3407
78	290	3382
79	291	3355
80	293	3328
81	294	3300
82	295	3265
83	297	3239
84	298	3216
85	300	3190
86	302	3176
87	304	3157
88	306	3134
89	307	3110
90	309	3095
91	312	3080
92	313	3059
93	315	3037
94	317	3019
95	318	2999
96	319	2978
97	321	2961
98	323	2942
99	324	2922
100	326	2903
101	328	2890
102	330	2877
103	331	2859
104	334	2847
105	335	2831
106	337	2814
107	340	2814
108	342	2801
109	344	2788
110	346	2774
111	348	2763
112	349	2745
113	351	2731
114	352	2716
115	354	2700
116	355	2682
117	356	2667
118	359	2658
119	361	2648
120	362	2634
121	363	2619
122	365	2606
123	367	2592
124	368	2579
125	370	2569
126	372	2562
127	379	2583
128	383	2587
129	386	2587
130	389	2585
131	392	2580
132	394	2572
133	396	2564
134	398	2553
135	400	2542
136	402	2532
137	403	2519
138	404	2507
139	406	2496
140	408	2486
141	409	2471
142	411	2463
143	414	2463
144	417	2460
145	419	2451
146	421	2444
147	422	2434
148	424	2425
149	427	2424
150	429	2415
151	430	2404
152	432	2394
153	434	2384
154	435	2373
155	436	2363
156	438	2353
157	439	2344
158	442	2341
159	445	2338
160	446	2328
161	448	2319
162	450	2311
163	455	2321
164	457	2313
165	459	2306
166	460	2298
167	462	2290
168	465	2289
169	467	2281
170	469	2276
171	471	2271
172	473	2264
173	475	2256
174	476	2248
175	478	2241
176	480	2233
177	482	2228
178	484	2221
179	486	2215
180	487	2206
181	489	2199
182	491	2193
183	492	2186
184	494	2178
185	498	2179
186	499	2172
187	501	2165
188	503	2158
189	504	2152
190	507	2148
191	511	2153
192	516	2160
193	526	2187
194	529	2185
195	531	2179
196	539	2200
197	543	2203
198	545	2195
199	547	2188
200	548	2181
201	550	2173
202	551	2166
203	553	2158
204	554	2151
205	556	2144
206	557	2137
207	559	2131
208	561	2123
209	562	2116
210	596	2230
211	598	2223
212	600	2217
213	602	2211
214	618	2256
215	622	2259
216	624	2251
217	626	2247
218	635	2267
219	644	2283
220	647	2280
221	648	2273
222	653	2278
223	655	2270
224	657	2265
225	678	2324
226	680	2318
227	682	2310
228	684	2303
229	685	2296
230	687	2288
231	688	2279
232	690	2271
233	691	2264
234	693	2256
235	694	2249
236	696	2242
237	697	2234
238	699	2226
239	701	2222
240	703	2215
241	705	2208
242	706	2200
243	707	2193
244	709	2186
245	711	2179
246	712	2171
247	713	2164
248	715	2159
249	717	2153
250	719	2146
251	722	2144
252	723	2137
253	725	2131
254	728	2128
255	730	2124
256	733	2119
257	737	2121
258	742	2124
259	746	2123
260	751	2126
261	754	2125
262	756	2120
263	759	2116
264	760	2109
265	762	2103
266	765	2102
267	768	2099
